channel_id,title,description,published_at,country,view_count,comment_count,subscriber_count,video_count,is_verified,keywords,profile_picture_url
UCbOokXOV-k0YeLhi-yAh3-w,Sereia Quiz,"🧜‍♀️ Sereia Quiz é um canal divertido e mágico com quizzes divertidos, desafios e perguntas interativas para aprender brincando!
Venha mergulhar nesse mundo do fundo do mar, testar seus conhecimentos e se divertir com a Sereia 💙✨
",2025-12-15T19:49:39.862622Z,,1727742,0,18700,13,False,,https://yt3.ggpht.com/wbwljCUUM4_YLaI3vgwZgEMXR6dcncz-YpporshoTXuwHxtUNI9_XGctfW3EP_kyVF_bEr7z8w=s88-c-k-c0x00ffffff-no-rj
UC27-v-X7tP2gi29W-m8R5gQ,Shark Tank Latam,"Bienvenido a Shark Tank Latam, el canal oficial donde podrás disfrutar de los momentos más emocionantes de Shark Tank México, Shark Tank Colombia y Shark Tank Brasil. Aquí encontrarás todoos los pitches de emprendedores latinoamericanos, negociaciones llenas de tensión, ofertas millonarias y el análisis de los inversionistas más reconocidos de la región.

En cada video, visionarios presentan sus ideas de negocio frente a un panel de tiburones que buscan invertir en las oportunidades más prometedoras. Desde startups tecnológicas y productos innovadores, hasta negocios familiares y propuestas disruptivas, este es el lugar donde los sueños se ponen a prueba y solo los más preparados logran cerrar un trato.

Y sí, la Temporada 10 de Shark Tank México ya está disponible en YouTube, con nuevos episodios todos los lunes y jueves a las 9PM.

Suscríbete y acompáñanos dentro del tanque, donde cada decisión puede cambiar el destino de un negocio.
",2024-02-13T21:53:51.173822Z,US,149358654,0,239000,1758,False,"""Shark Tank Latam"" ""Shark Tank Colombia"" ""Shark Tank México"" ""Shark Tank Brasil"" ""Shark Tank"" tiburones ""los tiburones"" ""tiburones mexico shark tank"" ""shark tank mexico peores ideas"" ""tanque de tiburones"" sharktank shartan emprendimientos ""rodrigo herrera"" ""arturo elias"" ""shark tank mexico nueva temporada"" ""shark tank 2025"" ""shark tank global"" ""shark tank america"" ""shark tank us"" ""dragons den"" ""reality tv"" ""shark tank pitches"" ""shark tank episodios"" ""shark tank new episodes"" ""pitches shark tank""",https://yt3.ggpht.com/dpLmVDrxFNVWKzG1DZE4Ur2rvoSFkKgtUwnom_SoQHWCjXuxRGgKhaBAM6NCstuSl0ebqUbm=s88-c-k-c0x00ffffff-no-rj
UCEKOGRvbli0XzuBc6Wpae8g,Crochê ao Avesso,"Crochê Canhoto Sem Mistério

""Cansado de tentar acompanhar tutoriais para destros e ter que 'mentalmente inverter' tudo? Você está no lugar certo! 🧶✨

Este canal foi criado exclusivamente para quem faz arte com a mão esquerda. Aqui, o foco é o passo a passo real para canhotos, desde os pontos básicos até peças completas e modernas.

O que você encontra aqui:

Tutoriais detalhados e lentos.

Dicas de ergonomia e como segurar a agulha.

Leitura de gráficos para canhotos.

Se inscreva para finalmente aprender crochê do seu jeito, sem confusão!""
",2026-03-07T23:51:13.439852Z,BR,2859,0,84,17,False,,https://yt3.ggpht.com/vkF1hw7B215-aiT1lvuPcywNoi8X2hWc3gDB33ioWLnjnSEokbrF1GAfeHOmL5PtJLoff3ws=s88-c-k-c0x00ffffff-no-rj
UCOOISv2NsoDaQQNMN8pEZdA,Dressa Carolinne,"Olá, sou a Andressa Carolinne, tenho 30 anos e moro em Goiás. Adoro tudo que envolve criatividade, customização e DIY (faça você mesmo).
Criei o canal para colocar idéias em prática e criar coisas reutilizando e decorando. 

Compartilhe suas criações comigo também, usando a Hashtag #aprendicomadressa

Se você é uma empresa, entre em contato através do e-mail: contato@dressacarolinne.com.br",2011-07-25T18:03:08Z,BR,136920879,0,1080000,827,False,"Diy decoração ""faça você mesmo"" ""do it yourself"" manualidades ""passo a passo"" artesanato ""Dressa Carolinne"" ""Andressa Carolinne"" ""como fazer"" ""how to make"" vlog",https://yt3.ggpht.com/D7GpOiQGAVXmn_zM2YEdj6cEVF0VfwAbBqCDm7c0RmCcUmLxfl5YeTF-vzmhpkP_Ky6NlBBlJQ=s88-c-k-c0x00ffffff-no-rj
UC0Iq_yxSU0rNUoSpho9FS7Q,Jacque Oliveira,"Olá pessoal, me chamo Jacqueline Dias Oliveira, casada e mãe de uma linda menina, vim compartilhar a vida da minha família com todos vocês, além de passeios, viagens, tours, receitas e muito mais, espero que gostem do nosso conteúdo e faça parte dessa família, inscrevendo-se aqui no nosso cantinho! 😘",2023-01-03T15:08:23.615574Z,BR,1293478,0,11500,164,False,"familia vlog ""daily vlog"" rotina mudança ""casa nova"" ""mudança casa"" comprinhas decoração ""meu segundo ap"" ""ap na planta"" ""mobiliando do zero"" ""dona de casa"" ""tour pelo ap"" tour ""casa nova"" ""tour pela minha casinha"" ""imóvel próprio"" ""meu canal"" ""começando um canal"" ""canal do zero"" ""jacque dias"" ""jack dias"" ""jaque dias"" ""compras do mês"" ""comprinhas para o lar"" achadinhos shopee comprinhas ""dicas de casa"" ""dicas de decoração"" ""vida real"" ""vlog casa"" ""decorando minha casa"" ""arrumação de casa""",https://yt3.ggpht.com/11i8L1qINPFB4tmY4-IOTAeKvRe4y7D86Bj8yLYfpBQn_83jXYpQApMOG75-dodDiSrhVRwutLE=s88-c-k-c0x00ffffff-no-rj
UCBI09ux7akOIT_oY2UFnh9Q,João Paulo Grandão,,2015-08-29T14:06:17Z,BR,39091785,0,191000,1786,False,"memes ""Joao paulo grandao"" ""João Paulo Grandão"" ""João Paulo"" Grandão Notícias Opinião",https://yt3.ggpht.com/R0XroEF1VYlSTdF1JTUGnLfu1mlD-HvdnXoohnzyTwa5xRdwxeeYkd4ia7htAWrgNAKIZ3Zi=s88-c-k-c0x00ffffff-no-rj
UChoIBiLdpXqqamkUF_9QEcQ,BOBAPIC PT,"🎬 BOBAPIC PT é um canal de entretenimento divertido com vídeos no estilo sitcom, desafios criativos de construção e situações engraçadas do dia a dia.
🏠 Divirta-se com desafios de construção de casas, reformas de cômodos e histórias leves repletas de humor, surpresas e momentos divertidos 😂✨

📅 Vídeos novos todos os dias!

🔔 Inscreva-se no BOBAPIC PT e nunca perca uma dose diária de diversão e criatividade.
",2026-02-09T09:22:39.224233Z,BR,3732360,0,8720,43,False,"bobapic ""bobapic PT"" ""desafios divertidos"" ""desafios de construção"" ""desafio de construção de casa"" ""reforma de quarto"" ""sitcom videos"" ""funny situations"" ""creative challenges"" ""one color challenge"" ""diy building"" ""vídeos de desafio"" ""reforma de casa"" ""desafio de reforma de quarto"" ""BOBAPIC PT""",https://yt3.ggpht.com/tzNQKLGftMY0rfMTKtgPC7F_zWxhBBp-0I_zXKRfNJXpE0O7ViqK3osKHgusoBODXUihYqTk_Q=s88-c-k-c0x00ffffff-no-rj
UCmbBt0JpdxCoJdaTOeooNdQ,EMPREENDEDORES PET ,"🐾 Bem-vindo ao canal certo para quem quer abrir ou crescer no ramo pet!
Aqui você encontra dicas práticas e diretas para montar sua casa de ração ou pet shop, aprender a vender mais e lucrar de verdade no mercado pet.

📌 Canal criado em abril de 2022

🔎 Guia do canal:
📅 Vídeos novos: Domingos às 16h
🎞️ Shorts todos os dias às 14h

👉 Se inscreva e evolua com a gente!
O sucesso do seu pet shop começa por aqui. 🚀",2022-01-09T23:15:31.573989Z,BR,656431,0,7810,772,False,"""mercado pet"" ""pet shop"" RAÇÃO CACHORRO GATO ""GANHAR DINHEIRO NO PET SHOP"" ""casa de ração"" ""ficar rico com pet shop"" ""como montar um pet shop"" ""como montar uma casa de ração"" ""CASA DE RAÇÃO DÁ DINHEIRO"" ""COMO ABRIR UMA CASA DE RAÇÃO"" ""distribuidor pet"" ""dicas para pet shop"" ""como montar pet shop"" ""como montar pet shop"" Magnus ""SPECIAL Dog"" ""Distribuidora petshop"" Petshop Dispenser ""Plast pet"" AGROPECUÁRIA ""LOJA DE RAÇÃO"" ""DICAS PET SHOP"" ""MERCADO PET"" ""Fornecedor petshop"" ""Feira Superpet""",https://yt3.ggpht.com/W4jqu_U6ta51rihlRbi0giPGPOGLLOCsI9JJZrwRMJixk6gSzq-dxAy70KLV9rV-bEos9GEizg=s88-c-k-c0x00ffffff-no-rj
UCpN8uqhKRLWtfSh5EYMrGow,Mary Quiz,"✨Bem-vindos ao canal Mary Quiz BR! Aqui você encontra quizzes interativos, jogos das escolhas, desafios divertidos e muita criatividade para toda a família! Diversão garantida em cada vídeo! ✨
",2023-02-26T00:11:13.612468Z,BR,7433220,0,622000,21,False,"quiz ""mary quizbr"" monte ""escolha seu presente"" ""jogo das perguntas"" ""o que você prefere"" ""perguntas e respostas"" ""qual voce escolhe"" ""shorts quiz"" ""quiz shorts"" ""mary quizbr"" ""o que você prefere"" ""jogo das escolhas"" ""mary quiz oficial"" ""material escolar"" ""monte do seu jeito"" ""jogo das escolhas"" ""monte seu material escolar"" ""monte seu lanche"" ""material escolar fofinho"" quiz ""jogos online"" ""monte seu material escolar"" ""monte sua necessaire"" stitch hellokitty ""bobbie goods"" ""livro de colorir""",https://yt3.ggpht.com/kMscaO_W4gfbnSKGJ5BQgZhXaBy5DZKeatEr3C__dTEOLBqtFPFkOVjZ2x0j0sMakIn9wpXxqDA=s88-c-k-c0x00ffffff-no-rj
UCFtWXzqzenfuLTrAnacbRtg,MISTÉRIOS & CHARADAS,"Aqui você vai encontrar desafios interativos, jogos de escolha, testes rápidos, adivinhações, ""o que você prefere?"", enigmas, ilusão de ótica e muito mais!

🧠 Toda semana, novos vídeos para brincar, pensar, escolher e se surpreender!
💬 Comente suas respostas, desafie seus amigos e divirta-se com nossos conteúdos criativos!

Se você ama quiz, diversão e curiosidades, esse canal é pra você!

🎥 Inscreva-se e ative o sininho para não perder nenhum desafio!
",2024-07-06T02:31:46.937736Z,BR,2299020,0,17500,168,False,"""misterios e charadas"" perguntaserespostas ""quiz interativo"" ""desafio de perguntas"" ""aprenda de forma divertida"" ""jogos de conhecimento"" ""quiz para todas as idades"" ""desafio educativo"" ""jogo de perguntas"" ""aprenda brincando"" ""teste seus conhecimentos"" canaldequiz quiz desafios",https://yt3.ggpht.com/QIe4gVLbo-EeeLApWpUr7XjR1Yr6_8SZFpsWctFiHlllt3sCKeLW7cOPMAw8ALLtOuyKVYLziQ=s88-c-k-c0x00ffffff-no-rj
